Gmt time,Open,High,Low,Close,Volume
05.06.2020 01:00:00.000,1.13327,1.13389,1.13283,1.13292,6684.61
05.06.2020 02:00:00.000,1.13292,1.13336,1.13262,1.13323,4404.36
05.06.2020 03:00:00.000,1.13322,1.13408,1.13317,1.13391,5738.43
05.06.2020 04:00:00.000,1.13391,1.13555,1.13383,1.13469,5613.97
05.06.2020 05:00:00.000,1.13469,1.13744,1.13437,1.13693,7929.280000000001
05.06.2020 06:00:00.000,1.13694,1.13840,1.13639,1.13736,15621.880000000005
05.06.2020 07:00:00.000,1.13736,1.13812,1.13452,1.13489,17162.85
05.06.2020 08:00:00.000,1.13486,1.13561,1.13265,1.13326,16242.050000000001
05.06.2020 09:00:00.000,1.13325,1.13375,1.13172,1.13354,16087.670000000002
05.06.2020 10:00:00.000,1.13353,1.13358,1.13175,1.13285,14002.349999999999
05.06.2020 11:00:00.000,1.13287,1.13382,1.13265,1.13358,13298.350000000002
05.06.2020 12:00:00.000,1.13360,1.13438,1.12827,1.12956,33821.3175
05.06.2020 13:00:00.000,1.12956,1.13241,1.12854,1.12975,28459.37000000001
05.06.2020 14:00:00.000,1.12975,1.13231,1.12830,1.13121,26788.170000000006
05.06.2020 15:00:00.000,1.13121,1.13196,1.12925,1.12959,16218.459999999997
05.06.2020 16:00:00.000,1.12957,1.12986,1.12855,1.12907,9440.679999999998
05.06.2020 17:00:00.000,1.12909,1.12920,1.12792,1.12915,7540.29
05.06.2020 18:00:00.000,1.12916,1.12997,1.12891,1.12939,9799.96
05.06.2020 19:00:00.000,1.12942,1.12998,1.12906,1.12920,5559.92
05.06.2020 20:00:00.000,1.12920,1.12924,1.12787,1.12920,3194.4399999999996
05.06.2020 21:00:00.000,1.12920,1.12920,1.12920,1.12920,0
05.06.2020 22:00:00.000,1.12920,1.12920,1.12920,1.12920,0
05.06.2020 23:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 00:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 01:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 02:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 03:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 04:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 05:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 06:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 07:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 08:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 09:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 10:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 11:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 12:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 13:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 14:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 15:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 16:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 17:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 18:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 19:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 20:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 21:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 22:00:00.000,1.12920,1.12920,1.12920,1.12920,0
06.06.2020 23:00:00.000,1.12920,1.12920,1.12920,1.12920,0
